ID,dice
4,0.7921616161616162
5,0.8673569655626807
7,0.7930421199959791
8,0.700977844801527
10,0.7349358427395435
19,0.7572682024974121
21,0.696936245100392
22,0.7965367626939764
33,0.776035483509217
39,0.7227326912861025
46,0.8080109677495935
49,0.8209662093948572
51,0.8076490663522029
53,0.7791363823912146
55,0.7838954248366012
61,0.7831069631637947
70,0.7552688911442956
71,0.7763462728800071
73,0.8258584433230348
78,0.8360796709043159
81,0.7951932936372303
95,0.8553410461701336
96,0.7531354909093826
100,0.7930734670583685
105,0.7806821526738444
109,0.8280751708428247
120,0.842722925985287
123,0.8040930528203586
129,0.8091844034717832
134,0.6891382670840471
138,0.8089411520928305
143,0.796055622753515
148,0.832972693275631
159,0.8456008499795324
160,0.7177949220742923
162,0.6544740209418423
165,0.7562336536915699
172,0.841387745938602
175,0.6467124775369271
178,0.7209304518367654
199,0.7148146712158808
