IMG_ID,dice_artery,artery_voxels,ostia_found,ostia_status,segmentation_attempted,proceeded_with_bad_ostia,skip_reason,ostia_error,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
15,0.694595566957093,193655.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(143, 286, 141)","(246, 183, 178)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
890,0.6995728201513388,148678.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(204, 282, 176)","(283, 200, 212)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
848,0.6335813469513519,129009.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(204, 326, 163)","(275, 254, 181)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
99,0.6323430980664452,192088.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(197, 267, 192)","(246, 190, 217)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
813,0.45975022177384284,168926.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(203, 393, 155)","(265, 292, 182)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
241,0.30691916754209136,420498.0,True,found_but_wrong,True,True,,,False,False,False,True,18.5,0.0,"(141, 313, 188)","(259, 161, 156)",,um correto,scipy,N/A,"[1, 1, 1]",99.7
822,0.0,,False,not_found,False,False,ostia_not_found,Nenhuma superfície de aorta encontrada!,False,False,False,False,,,,,,óstios não encontrados,scipy,N/A,"[1, 1, 1]",99.7
475,0.6388015922899644,166733.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(172, 346, 176)","(264, 269, 205)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
207,0.6433547276142768,191957.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(208, 340, 181)","(271, 239, 210)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
411,0.6442574404413086,159686.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(190, 329, 146)","(235, 265, 177)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
439,0.6397018964582618,294423.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(176, 346, 119)","(282, 274, 162)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
377,0.6081324097508991,199464.0,True,both_tolerable,True,False,,,False,True,False,True,1.0561513279077985,0.0,"(197, 340, 171)","(308, 281, 198)",,ambos toleráveis,scipy,N/A,"[1, 1, 1]",99.7
277,0.6854517913593257,187188.0,True,both_tolerable,True,False,,,False,True,False,True,1.1953125,0.0,"(185, 249, 180)","(208, 181, 209)",,ambos toleráveis,scipy,N/A,"[1, 1, 1]",99.7
160,0.22757730825061215,169331.0,True,found_but_wrong,True,True,,,False,False,True,False,0.0,30.72581467444675,"(170, 316, 171)","(194, 193, 140)",,um correto,scipy,N/A,"[1, 1, 1]",99.7
509,0.6380985405678341,319512.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(227, 367, 175)","(252, 263, 215)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
490,0.18692594925854167,1031570.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(178, 324, 142)","(256, 228, 189)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
131,0.555129746518385,210827.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(186, 331, 174)","(237, 225, 218)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
505,0.6585111989459815,194830.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(159, 328, 192)","(256, 277, 235)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
776,0.563174580126809,213982.0,True,both_tolerable,True,False,,,False,True,False,True,2.3710108935790877,0.0,"(191, 278, 144)","(265, 207, 172)",,ambos toleráveis,scipy,N/A,"[1, 1, 1]",99.7
672,0.6625233773515853,178595.0,True,both_correct,True,False,,,True,False,True,True,0.0,0.0,"(164, 301, 200)","(251, 207, 220)",,ambos corretos,scipy,N/A,"[1, 1, 1]",99.7
