ID,dice
1,0.7346942894335853
2,0.7399453179197492
3,0.7351986086713945
6,0.7266253505987471
12,0.6901849986210934
14,0.7577963045637496
15,0.7888237882801646
23,0.7195446179016974
24,0.7082488658152603
25,0.73871299396304
27,0.6558829332721261
30,0.7149009547396761
34,0.6720028084956995
40,0.6993696755146299
43,0.6263004106304423
45,0.6769691919906512
54,0.7257815263736058
58,0.7363352969237084
59,0.6971887411301526
64,0.5805488803514304
68,0.6778269321000067
69,0.798608884945988
77,0.7772217856995162
80,0.6639336202527816
82,0.7611634434896416
84,0.799898243198755
85,0.6545845285951397
86,0.6595058931413006
91,0.7836171462125662
94,0.7342793274370687
98,0.6822364807844293
99,0.7283879295559788
104,0.7866422101620558
106,0.692101336420936
112,0.7586949259492967
113,0.7417236032460452
124,0.6722837389691416
132,0.744371888399475
136,0.7887815790909587
140,0.7624865620125241
152,0.7586305903331343
155,0.7022522007545444
157,0.7520983241046997
169,0.7455688124842883
170,0.6169143618100386
180,0.6854210595489116
187,0.6870621017330613
191,0.7137663317372672
192,0.8084670170365441
194,0.7778627988754288
196,0.7473783898430487
197,0.7225353435724016
200,0.6396005106014018
