IMG_ID,dice_artery,artery_voxels,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status
516,,,False,False,False,False,2.335297257577716,9.11501821879179,"(137, 116, 196)","(159, 67, 176)",,nenhum correto
832,0.7486202442461249,38821.0,False,True,False,False,2.8125,0.8627773557674077,"(91, 156, 194)","(106, 127, 227)",,ambos toleráveis
575,,,False,False,False,False,53.79936201433446,28.370455071205072,"(37, 163, 228)","(92, 133, 232)",,nenhum correto
587,0.5541335178139052,73679.0,False,True,False,False,0.65625,1.6500473478055107,"(107, 161, 201)","(120, 131, 237)",,ambos toleráveis
633,0.6904927854314653,37902.0,False,True,True,False,0.0,0.6875,"(96, 154, 177)","(111, 118, 209)",,ambos toleráveis
17,0.6394810009267841,19718.0,False,True,False,False,2.578125,0.9942461418708146,"(96, 164, 153)","(102, 125, 189)",,ambos toleráveis
411,0.4831762796443885,17332.0,False,True,False,False,5.436300211113397,1.252347648933419,"(102, 161, 155)","(110, 133, 172)",,ambos toleráveis
594,0.5451818181818182,14716.0,False,True,True,False,0.0,2.1106188462302944,"(92, 151, 163)","(110, 111, 197)",,ambos toleráveis
622,0.6279915901851921,48979.0,False,True,False,False,0.905980563395264,0.640625,"(96, 170, 209)","(125, 140, 231)",,ambos toleráveis
675,0.7687890183583113,27944.0,False,True,True,False,0.0,0.71484375,"(95, 169, 162)","(116, 129, 188)",,ambos toleráveis
557,0.47411970767651146,11349.0,False,True,False,False,0.5,1.6071738588279738,"(95, 149, 161)","(103, 111, 201)",,ambos toleráveis
915,0.7677637242566717,39314.0,False,True,True,False,0.0,1.2091216223590784,"(93, 158, 203)","(115, 125, 230)",,ambos toleráveis
38,0.32399315814025814,7016.0,False,True,False,False,1.5078125,0.75390625,"(100, 158, 153)","(116, 121, 200)",,ambos toleráveis
621,0.0,0.0,False,True,False,True,0.734375,0.0,"(92, 179, 200)","(103, 131, 220)",,ambos toleráveis
470,0.2802802101576182,6341.0,False,True,False,False,1.5859375,1.8728584775559325,"(84, 150, 150)","(98, 132, 193)",,ambos toleráveis
872,0.6319339258666514,17429.0,False,True,True,False,0.0,1.1228821210672562,"(109, 182, 158)","(115, 138, 180)",,ambos toleráveis
148,0.7270012911555842,27635.0,False,True,False,False,1.0661844435078411,1.4617623841028764,"(90, 156, 149)","(108, 125, 174)",,ambos toleráveis
941,0.7194349409557445,25134.0,False,True,True,False,0.0,1.029961908617559,"(91, 153, 203)","(114, 124, 224)",,ambos toleráveis
837,0.7586355089981198,38985.0,False,True,True,False,0.0,3.2184181412661794,"(95, 177, 193)","(97, 124, 212)",,ambos toleráveis
802,0.7167640449438202,22671.0,False,True,False,False,1.5722352966795397,0.5,"(85, 147, 147)","(117, 118, 188)",,ambos toleráveis
885,0.7139672429481346,22389.0,False,True,True,False,0.0,0.8981402361485997,"(105, 156, 174)","(125, 125, 217)",,ambos toleráveis
753,0.6530830240072636,19215.0,False,True,False,False,1.4936235318455626,0.8343753657536651,"(96, 150, 143)","(108, 117, 162)",,ambos toleráveis
455,0.6334416756951968,36695.0,False,True,False,False,0.71875,1.4375,"(90, 155, 195)","(118, 130, 232)",,ambos toleráveis
920,0.6752743999635652,23138.0,False,True,True,False,0.0,1.6914964612201566,"(86, 172, 182)","(105, 134, 203)",,ambos toleráveis
9,0.5219697793238396,17670.0,False,True,False,False,3.2597509970088208,2.989075160062055,"(95, 165, 200)","(110, 141, 224)",,ambos toleráveis
152,0.7142334842647018,36234.0,False,True,False,False,1.7833218487996636,1.4457241812334485,"(106, 173, 190)","(118, 145, 228)",,ambos toleráveis
798,,,False,False,False,False,15.456562828541676,1.3654229684652663,"(123, 166, 189)","(121, 143, 207)",,nenhum correto
847,0.7068554230297626,24213.0,True,True,True,True,0.0,0.0,"(93, 159, 196)","(120, 129, 223)",,ambos corretos
667,0.7387093586322759,21374.0,False,True,False,False,1.6914964612201566,0.8787673501354397,"(93, 145, 175)","(107, 111, 201)",,ambos toleráveis
821,0.3467665203646297,7769.0,False,True,False,False,4.987508811082442,1.232890721536179,"(137, 166, 179)","(150, 140, 206)",,ambos toleráveis
677,,,False,False,False,True,25.450554274723075,0.0,"(48, 176, 186)","(100, 120, 191)",,um correto
671,0.5803127012941384,37389.0,False,True,True,False,0.0,1.739843048383334,"(87, 154, 181)","(114, 115, 217)",,ambos toleráveis
500,0.384323312181421,33138.0,False,True,True,False,0.0,1.1327855600244912,"(100, 182, 203)","(120, 131, 226)",,ambos toleráveis
806,0.6478957885722013,37446.0,True,True,True,True,0.0,0.0,"(88, 174, 174)","(117, 136, 205)",,ambos corretos
791,,,False,False,True,False,0.0,7.031328124565977,"(84, 161, 152)","(104, 120, 184)",,um correto
18,0.5897092658439657,28555.0,False,True,False,False,1.2734375,1.029961908617559,"(100, 145, 137)","(111, 105, 157)",,ambos toleráveis
864,,,False,False,False,False,49.970083976340675,51.656837529269936,"(38, 169, 248)","(62, 122, 254)",,nenhum correto
441,0.6413881748071979,29559.0,False,True,False,True,0.63671875,0.0,"(99, 167, 151)","(117, 127, 180)",,ambos toleráveis
990,,,False,False,False,False,14.197626071268756,1.1377451873456221,"(98, 137, 239)","(123, 105, 230)",,nenhum correto
778,0.6972062949859705,26854.0,True,True,True,True,0.0,0.0,"(93, 161, 169)","(119, 132, 208)",,ambos corretos
54,0.6478980891719746,25846.0,False,True,True,False,0.0,0.8469358978335152,"(83, 202, 175)","(110, 161, 208)",,ambos toleráveis
420,0.7524910470747592,26276.0,True,True,True,True,0.0,0.0,"(99, 158, 188)","(124, 112, 208)",,ambos corretos
160,0.6774827429838263,33858.0,False,True,True,False,0.0,1.029961908617559,"(91, 153, 175)","(105, 109, 201)",,ambos toleráveis
744,0.6509926854754441,20868.0,False,True,False,False,1.2734375,0.8095744354916121,"(103, 175, 141)","(127, 144, 169)",,ambos toleráveis
36,0.6733359787807273,22074.0,False,True,False,False,2.56332160990018,0.8691559865215507,"(108, 162, 188)","(129, 124, 211)",,ambos toleráveis
138,0.2634031998691706,48749.0,False,True,False,False,1.6171875,0.80859375,"(91, 135, 167)","(113, 109, 202)",,ambos toleráveis
161,0.7669219088236244,32002.0,False,True,True,False,0.0,0.8819824637747907,"(81, 174, 185)","(109, 140, 203)",,ambos toleráveis
900,,,False,False,True,False,0.0,21.627803201848554,"(89, 150, 150)","(106, 122, 126)",,um correto
599,0.7300409173089732,25956.0,False,True,False,False,0.77734375,1.808678116282804,"(99, 148, 180)","(118, 118, 223)",,ambos toleráveis
679,,,False,False,True,False,0.0,57.14853522291713,"(86, 124, 190)","(56, 48, 163)",,um correto
964,0.5136794087722633,58744.0,False,True,True,False,0.0,1.2689962815154345,"(92, 171, 208)","(109, 142, 245)",,ambos toleráveis
4,0.7179320617783104,46225.0,True,True,True,True,0.0,0.0,"(89, 168, 156)","(113, 120, 193)",,ambos corretos
