ID,dice
1,0.5294417550466172
2,0.5164104340714574
3,0.569321157443063
6,0.4717588935867057
12,0.5176360690335192
14,0.5559320825983929
15,0.5897585765340496
23,0.5451598778525245
24,0.5008298069531357
25,0.5579586169598703
27,0.46712223239984524
30,0.5405342301527076
34,0.5261947581001798
40,0.5331685653601081
43,0.44302537460026653
45,0.4148656501646512
54,0.48120712515132297
58,0.5556124626547162
59,0.5066030270056385
64,0.4892404072043852
68,0.5579325394779799
69,0.582700590732376
77,0.5594157956262931
80,0.427028973846142
82,0.5330497623007521
84,0.5570299478466585
85,0.5012999121438689
86,0.5288121357122859
91,0.5967043551452149
94,0.5490929217145317
98,0.5588468312741035
99,0.5248847720051908
104,0.5855433513293956
106,0.4884963407084524
112,0.5545363454181089
113,0.5383114443497335
124,0.38985226530354955
132,0.5779752047841106
136,0.6078572354695364
140,0.5573578361730325
152,0.5694170743205125
155,0.4901709224847907
157,0.45682626625114114
169,0.5087039332939626
170,0.48782366720643955
180,0.4975713727233293
187,0.49040065977483266
191,0.5000301288308808
192,0.5929569237204405
194,0.5815188819306296
196,0.521303843943865
197,0.5234657333550383
200,0.46588349021439046
