IMG_ID,stage,kind,shape_equal,cpu_min,gpu_min,cpu_max,gpu_max,cpu_mean,gpu_mean,mean_abs_error,max_abs_error,rmse,p95_abs_error,p99_abs_error,voxels_abs_gt_tolerance,fraction_abs_gt_tolerance,cpu_count,gpu_count,common_slices,cpu_only_slices,gpu_only_slices,mean_center_distance_px,max_center_distance_px,mean_radius_abs_diff_px,max_radius_abs_diff_px,cpu_voxels,gpu_voxels,voxel_delta,abs_voxel_delta,dice_cpu_gpu,iou_cpu_gpu,xor_voxels,xor_fraction
937,vesselness_ostios,float,True,0.0,0.0,0.8252274394035339,0.8252273797988892,0.002138494101393459,0.002138495549262992,7.573688951612444e-09,0.007160276174545288,3.5985243647011665e-06,1.234002411365509e-08,3.236345946788788e-08,760.0,4.216974431818182e-05,,,,,,,,,,,,,,,,,
937,aorta_circles,circles,,,,,,,,,,,,,,,82.0,92.0,82.0,0.0,10.0,3.0003413820935783,10.694985556296128,1.0991380232233887,4.111111111111111,,,,,,,,
937,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,128170.0,137266.0,9096.0,9096.0,0.962454226254163,0.9276257979244885,9966.0,0.000552978515625
937,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,49804.0,53571.0,3767.0,3767.0,0.8990761789600967,0.8166561225924364,10433.0,0.0005788907137784091
937,vesselness_artery,float,True,0.0,0.0,0.851507306098938,0.8515072464942932,0.002830935033209882,0.00283094170326511,1.5688769243372188e-08,0.04835681617259979,1.6110993651322017e-05,1.4901161193847656e-08,3.4458935260772705e-08,550.0,3.0517578125e-05,,,,,,,,,,,,,,,,,
937,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6376.0,1314.0,-5062.0,5062.0,0.32067620286085824,0.19095555211398482,5224.0,0.0002898615056818182
937,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6599.0,1360.0,-5239.0,5239.0,0.3213971604472924,0.19146706586826348,5401.0,0.0002996826171875
937,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,29038.0,7078.0,-21960.0,21960.0,0.36726104773507584,0.2249355582688916,22852.0,0.001267977627840909
315,vesselness_ostios,float,True,0.0,0.0,0.7532281875610352,0.7532280683517456,0.0022851438367463475,0.002285147247879354,1.0345632349855455e-08,0.018318042159080505,6.804854555135282e-06,1.30385160446167e-08,3.341119736433029e-08,901.0,4.999334161931818e-05,,,,,,,,,,,,,,,,,
315,aorta_circles,circles,,,,,,,,,,,,,,,134.0,85.0,85.0,49.0,0.0,4.851087207646185,18.58258593414813,3.713300653594771,10.75,,,,,,,,
315,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,386117.0,298135.0,-87982.0,87982.0,0.8686068875209718,0.7677321683687309,89906.0,0.0049885697798295455
315,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,109612.0,87056.0,-22556.0,22556.0,0.776038806516566,0.6340387347640769,44046.0,0.0024439586292613635
315,vesselness_artery,float,True,0.0,0.0,0.8550856709480286,0.8550857305526733,0.0030559357658037603,0.003055938361230055,1.4242493858520475e-08,0.02481985092163086,9.291702197987134e-06,1.5599653124809265e-08,3.655441105365753e-08,735.0,4.0782581676136365e-05,,,,,,,,,,,,,,,,,
315,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6386.0,4926.0,-1460.0,1460.0,0.870933521923621,0.7713748825555904,1460.0,8.101029829545455e-05
315,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6663.0,5181.0,-1482.0,1482.0,0.8748733535967579,0.7775776677172445,1482.0,8.223100142045454e-05
315,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,28865.0,21609.0,-7256.0,7256.0,0.8562428180845584,0.7486228997055258,7256.0,0.00040261008522727274
428,vesselness_ostios,float,True,0.0,0.0,0.7766119837760925,0.7766120433807373,0.0023039693047693737,0.002303968572685451,9.649744497853513e-09,0.009276092052459717,4.348147145117639e-06,1.3969838619232178e-08,3.3527612686157227e-08,887.0,4.921653053977273e-05,,,,,,,,,,,,,,,,,
428,aorta_circles,circles,,,,,,,,,,,,,,,157.0,179.0,157.0,0.0,22.0,5.341836346261677,14.317821063276353,4.349139978917049,11.5,,,,,,,,
428,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,517624.0,598080.0,80456.0,80456.0,0.9269268551515456,0.8638058454835821,81528.0,0.004523703835227272
428,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,135289.0,162065.0,26776.0,26776.0,0.8391883075391621,0.7229323351836185,47818.0,0.0026532537286931817
428,vesselness_artery,float,True,0.0,0.0,0.8527444005012512,0.8527443408966064,0.003439752766881358,0.0034397548626110856,1.3547554842766404e-08,0.044112786650657654,1.1679097037406183e-05,1.6763806343078613e-08,3.725290298461914e-08,656.0,3.6399147727272724e-05,,,,,,,,,,,,,,,,,
428,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6574.0,9098.0,2524.0,2524.0,0.8386932108218479,0.7221978021978022,2528.0,0.00014026988636363637
428,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6892.0,9467.0,2575.0,2575.0,0.8423497768812275,0.7276375541239836,2579.0,0.0001430996981534091
428,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,25976.0,34062.0,8086.0,8086.0,0.8652186948266098,0.7624541318068399,8092.0,0.00044899680397727273
28,vesselness_ostios,float,True,0.0,0.0,0.7567499279975891,0.7567499876022339,0.002393948891005774,0.0023939476376020484,8.10849818010359e-09,0.008505284786224365,3.2340856378076353e-06,1.1597876437008381e-08,3.2247044146060944e-08,945.0,5.2434747869318184e-05,,,,,,,,,,,,,,,,,
28,aorta_circles,circles,,,,,,,,,,,,,,,120.0,102.0,102.0,18.0,0.0,2.23472280685949,7.188262036898147,1.0674507681860625,4.75,,,,,,,,
28,aorta_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,190297.0,155139.0,-35158.0,35158.0,0.8950485762919904,0.8100343210458749,36254.0,0.0020116077769886365
28,aorta_surface,binary,True,,,,,,,,,,,,,,,,,,,,,,,73029.0,59521.0,-13508.0,13508.0,0.8080422482082233,0.6779118194361812,25444.0,0.001411798650568182
28,vesselness_artery,float,True,0.0,0.0,0.8480173349380493,0.8480172157287598,0.002882128012483872,0.002882128988785376,1.0168487876542383e-08,0.010706789791584015,5.266211612076879e-06,1.4668330550193787e-08,3.4458935260772705e-08,770.0,4.2724609375e-05,,,,,,,,,,,,,,,,,
28,artery_raw_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6045.0,6045.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_closed_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,6347.0,6347.0,0.0,0.0,1.0,1.0,0.0,0.0
28,artery_final_mask,binary,True,,,,,,,,,,,,,,,,,,,,,,,24733.0,24733.0,0.0,0.0,1.0,1.0,0.0,0.0
